,Trial,Instruction,Food,Choice,RT,Liking,Taste,Health,preLiking,subjIdx
0,1,Respond Naturally,DriedHerring_1_1fish.jpg,-2.0,1.190808211609692,1,1,6,1.0,104
1,2,Respond Naturally,Triscuit_5_30crackers.jpg,-1.0,1.5485761742893374,1,1,6,1.0,104
2,3,Respond Naturally,OatmealSquares_3_2tbsp.jpg,-2.0,1.3224977633763046,1,1,3,1.0,104
3,4,Respond Naturally,SevenGrain_3_5.jpg,-2.0,1.2401205181304251,1,1,6,3.0,104
4,5,Respond Naturally,IceCreamVanilla_1_2tsp.jpg,2.0,0.9082346454270008,5,6,1,5.0,104
5,6,Respond Naturally,Tuna_4_1can.jpg,-2.0,1.004629764258425,1,1,6,2.0,104
6,7,Respond Naturally,OatBran_4_1bowl.jpg,-2.0,0.8657533723235247,1,4,6,1.0,104
7,8,Respond Naturally,Orange_5_2orange.jpg,-2.0,1.4852753596387631,1,2,6,1.0,104
8,9,Respond Naturally,Reese_1_1Cup.jpg,-1.0,1.2834377090148337,1,1,1,1.0,104
9,10,Respond Naturally,FruitCrisps_1_0.5bar.jpg,-2.0,0.5866129991482012,1,1,1,1.0,104
10,11,Respond Naturally,RiceKrispiesCereal_7_2cups.jpg,-2.0,1.0334158987461706,1,2,1,2.0,104
11,12,Respond Naturally,Tuna_2_1T.jpg,-2.0,0.6465345049873576,1,1,6,1.0,104
12,13,Respond Naturally,Mentos_2_3pc.jpg,1.0,0.9356639815814559,6,5,1,3.0,104
13,14,Respond Naturally,AllBranCereal_6_1cup.jpg,-2.0,0.6695846811489901,1,2,6,1.0,104
14,15,Respond Naturally,EnglishCucumber_5_0.5cuc.JPG,1.0,0.8066261594358366,5,4,6,4.0,104
15,16,Decrease Desire,NatureValleyChocolate_1_0.25bar.jpg,1.0,1.095310592492751,4,5,1,4.0,104
16,17,Decrease Desire,SlimStyles_2_2Tbsp.jpg,1.0,0.9041978924142312,3,1,2,1.0,104
17,18,Decrease Desire,FrozenBlueberries_1_1tbsp.jpg,-2.0,1.1608819559769472,1,1,6,1.0,104
18,19,Decrease Desire,FrozenOkra_5_0.5box.jpg,-2.0,1.013904688268667,1,1,6,1.0,104
19,20,Decrease Desire,Mars_2_0.5Bar.jpg,-2.0,0.8842718591658922,1,1,1,3.0,104
20,21,Decrease Desire,Celery_4_0.5bunch.jpg,-2.0,0.760554317264905,1,1,6,1.0,104
21,22,Decrease Desire,ProMax_4_1bar.jpg,-2.0,0.7689209076961561,1,1,1,1.0,104
22,23,Decrease Desire,WaterChestnuts_5_0.5can.jpg,-2.0,1.6640420216863276,1,1,6,1.0,104
23,24,Decrease Desire,HoneyNutCheerios_5_2cup.jpg,-2.0,0.9535059224144788,1,1,3,1.0,104
24,25,Decrease Desire,Prunes_2_3.jpg,-2.0,0.7851015617306984,1,1,6,1.0,104
25,26,Decrease Desire,Pringles_5_40Chips.jpg,1.0,0.8709060128458077,4,5,1,3.0,104
26,27,Decrease Desire,VegetableThins_5_25Chips.jpg,-2.0,0.7265750578335428,1,1,6,1.0,104
27,28,Decrease Desire,SlimStyles_6_2c.jpg,1.0,0.7363280971585482,1,5,3,4.0,104
28,29,Decrease Desire,Broccoli_4_1.5c.jpg,1.0,0.7213140787134762,4,1,6,6.0,104
29,30,Decrease Desire,HoneyNutCheerios_2_2tbsp.jpg,-2.0,0.6006066391055356,1,1,1,1.0,104
30,31,Focus on Healthiness,SpeltCakes_2_0.5.jpg,-2.0,1.2177548708168615,1,2,1,1.0,104
31,32,Focus on Healthiness,SlicedTurkey_5_4slices.jpg,1.0,1.2884355393944134,5,6,1,5.0,104
32,33,Focus on Healthiness,Raspberries_4_.5c.jpg,-2.0,0.9668270077854686,1,2,6,1.0,104
33,34,Focus on Healthiness,CannedArtichoke_2_2.jpg,-2.0,0.8281179704645183,1,1,6,1.0,104
34,35,Focus on Healthiness,Avocado_5_1avacado.jpg,-1.0,1.4279519843366868,1,1,6,3.0,104
35,36,Focus on Healthiness,VanillaGreekYogurt_2_1spoon.jpg,1.0,1.0603038270346588,1,1,1,1.0,104
36,37,Focus on Healthiness,Raspberries_5_.5bag.jpg,-2.0,0.661814238086663,1,1,1,1.0,104
37,38,Focus on Healthiness,PopTartStrawberry_2_0.5tart.jpg,-2.0,1.4636204705202545,1,4,2,2.0,104
38,39,Focus on Healthiness,LuckyCharms_3_2tbsps.jpg,-2.0,1.4396488461097758,1,1,1,1.0,104
39,40,Focus on Healthiness,RedPepper_2_2pc.jpg,-2.0,1.2817561800038677,1,1,6,1.0,104
40,41,Focus on Healthiness,DriedApricots_5_0.75cup.jpg,-2.0,0.7564477143678232,1,2,3,1.0,104
41,42,Focus on Healthiness,AllBranBar_3_1bar.jpg,-2.0,1.1458705034492596,1,1,6,1.0,104
42,43,Focus on Healthiness,JuniorMints_2_9pc.jpg,-1.0,1.668751614386565,1,4,1,2.0,104
43,44,Focus on Healthiness,SkimMilk_1_1Tbsp.jpg,-2.0,0.8974424109110258,1,1,6,2.0,104
44,45,Focus on Healthiness,FrozenCorn_4_2cups.jpg,-2.0,0.7399257937649963,1,1,5,1.0,104
45,46,Decrease Desire,CornFlakes_3_2tbsps.jpg,-2.0,0.6100460667112202,1,2,1,1.0,104
46,47,Decrease Desire,Aero_1_1pc.jpg,2.0,0.6417262671493518,6,5,1,6.0,104
