,Trial,Instruction,Food,Choice,Liking,Taste,Health,preLiking,subj_idx,rt,response,Taste_centered,Health_centered,preLiking_centered
0,1,Respond Naturally,DriedHerring_1_1fish.jpg,-2.0,1,1,6,1.0,104,1.190808211609692,0.0,-2.2897777777777777,2.445,-2.2686250418854015
1,2,Respond Naturally,Triscuit_5_30crackers.jpg,-1.0,1,1,6,1.0,104,1.5485761742893374,0.0,-2.2897777777777777,2.445,-2.2686250418854015
2,3,Respond Naturally,OatmealSquares_3_2tbsp.jpg,-2.0,1,1,3,1.0,104,1.3224977633763046,0.0,-2.2897777777777777,-0.5550000000000002,-2.2686250418854015
3,4,Respond Naturally,SevenGrain_3_5.jpg,-2.0,1,1,6,3.0,104,1.2401205181304251,0.0,-2.2897777777777777,2.445,-0.2686250418854015
4,5,Respond Naturally,IceCreamVanilla_1_2tsp.jpg,2.0,5,6,1,5.0,104,0.9082346454270008,1.0,2.7102222222222223,-2.555,1.7313749581145985
5,6,Respond Naturally,Tuna_4_1can.jpg,-2.0,1,1,6,2.0,104,1.004629764258425,0.0,-2.2897777777777777,2.445,-1.2686250418854015
6,7,Respond Naturally,OatBran_4_1bowl.jpg,-2.0,1,4,6,1.0,104,0.8657533723235247,0.0,0.7102222222222223,2.445,-2.2686250418854015
7,8,Respond Naturally,Orange_5_2orange.jpg,-2.0,1,2,6,1.0,104,1.4852753596387631,0.0,-1.2897777777777777,2.445,-2.2686250418854015
8,9,Respond Naturally,Reese_1_1Cup.jpg,-1.0,1,1,1,1.0,104,1.2834377090148337,0.0,-2.2897777777777777,-2.555,-2.2686250418854015
9,10,Respond Naturally,FruitCrisps_1_0.5bar.jpg,-2.0,1,1,1,1.0,104,0.5866129991482012,0.0,-2.2897777777777777,-2.555,-2.2686250418854015
10,11,Respond Naturally,RiceKrispiesCereal_7_2cups.jpg,-2.0,1,2,1,2.0,104,1.0334158987461706,0.0,-1.2897777777777777,-2.555,-1.2686250418854015
11,12,Respond Naturally,Tuna_2_1T.jpg,-2.0,1,1,6,1.0,104,0.6465345049873576,0.0,-2.2897777777777777,2.445,-2.2686250418854015
12,13,Respond Naturally,Mentos_2_3pc.jpg,1.0,6,5,1,3.0,104,0.9356639815814559,1.0,1.7102222222222223,-2.555,-0.2686250418854015
13,14,Respond Naturally,AllBranCereal_6_1cup.jpg,-2.0,1,2,6,1.0,104,0.6695846811489901,0.0,-1.2897777777777777,2.445,-2.2686250418854015
14,15,Respond Naturally,EnglishCucumber_5_0.5cuc.JPG,1.0,5,4,6,4.0,104,0.8066261594358366,1.0,0.7102222222222223,2.445,0.7313749581145985
15,16,Decrease Desire,NatureValleyChocolate_1_0.25bar.jpg,1.0,4,5,1,4.0,104,1.095310592492751,1.0,1.7102222222222223,-2.555,0.7313749581145985
16,17,Decrease Desire,SlimStyles_2_2Tbsp.jpg,1.0,3,1,2,1.0,104,0.9041978924142312,1.0,-2.2897777777777777,-1.5550000000000002,-2.2686250418854015
17,18,Decrease Desire,FrozenBlueberries_1_1tbsp.jpg,-2.0,1,1,6,1.0,104,1.1608819559769472,0.0,-2.2897777777777777,2.445,-2.2686250418854015
18,19,Decrease Desire,FrozenOkra_5_0.5box.jpg,-2.0,1,1,6,1.0,104,1.013904688268667,0.0,-2.2897777777777777,2.445,-2.2686250418854015
19,20,Decrease Desire,Mars_2_0.5Bar.jpg,-2.0,1,1,1,3.0,104,0.8842718591658922,0.0,-2.2897777777777777,-2.555,-0.2686250418854015
20,21,Decrease Desire,Celery_4_0.5bunch.jpg,-2.0,1,1,6,1.0,104,0.760554317264905,0.0,-2.2897777777777777,2.445,-2.2686250418854015
21,22,Decrease Desire,ProMax_4_1bar.jpg,-2.0,1,1,1,1.0,104,0.7689209076961561,0.0,-2.2897777777777777,-2.555,-2.2686250418854015
22,23,Decrease Desire,WaterChestnuts_5_0.5can.jpg,-2.0,1,1,6,1.0,104,1.6640420216863276,0.0,-2.2897777777777777,2.445,-2.2686250418854015
23,24,Decrease Desire,HoneyNutCheerios_5_2cup.jpg,-2.0,1,1,3,1.0,104,0.9535059224144788,0.0,-2.2897777777777777,-0.5550000000000002,-2.2686250418854015
24,25,Decrease Desire,Prunes_2_3.jpg,-2.0,1,1,6,1.0,104,0.7851015617306984,0.0,-2.2897777777777777,2.445,-2.2686250418854015
25,26,Decrease Desire,Pringles_5_40Chips.jpg,1.0,4,5,1,3.0,104,0.8709060128458077,1.0,1.7102222222222223,-2.555,-0.2686250418854015
26,27,Decrease Desire,VegetableThins_5_25Chips.jpg,-2.0,1,1,6,1.0,104,0.7265750578335428,0.0,-2.2897777777777777,2.445,-2.2686250418854015
27,28,Decrease Desire,SlimStyles_6_2c.jpg,1.0,1,5,3,4.0,104,0.7363280971585482,1.0,1.7102222222222223,-0.5550000000000002,0.7313749581145985
28,29,Decrease Desire,Broccoli_4_1.5c.jpg,1.0,4,1,6,6.0,104,0.7213140787134762,1.0,-2.2897777777777777,2.445,2.7313749581145985
29,30,Decrease Desire,HoneyNutCheerios_2_2tbsp.jpg,-2.0,1,1,1,1.0,104,0.6006066391055356,0.0,-2.2897777777777777,-2.555,-2.2686250418854015
30,31,Focus on Healthiness,SpeltCakes_2_0.5.jpg,-2.0,1,2,1,1.0,104,1.2177548708168615,0.0,-1.2897777777777777,-2.555,-2.2686250418854015
31,32,Focus on Healthiness,SlicedTurkey_5_4slices.jpg,1.0,5,6,1,5.0,104,1.2884355393944134,1.0,2.7102222222222223,-2.555,1.7313749581145985
32,33,Focus on Healthiness,Raspberries_4_.5c.jpg,-2.0,1,2,6,1.0,104,0.9668270077854686,0.0,-1.2897777777777777,2.445,-2.2686250418854015
33,34,Focus on Healthiness,CannedArtichoke_2_2.jpg,-2.0,1,1,6,1.0,104,0.8281179704645183,0.0,-2.2897777777777777,2.445,-2.2686250418854015
34,35,Focus on Healthiness,Avocado_5_1avacado.jpg,-1.0,1,1,6,3.0,104,1.4279519843366868,0.0,-2.2897777777777777,2.445,-0.2686250418854015
35,36,Focus on Healthiness,VanillaGreekYogurt_2_1spoon.jpg,1.0,1,1,1,1.0,104,1.0603038270346588,1.0,-2.2897777777777777,-2.555,-2.2686250418854015
36,37,Focus on Healthiness,Raspberries_5_.5bag.jpg,-2.0,1,1,1,1.0,104,0.661814238086663,0.0,-2.2897777777777777,-2.555,-2.2686250418854015
37,38,Focus on Healthiness,PopTartStrawberry_2_0.5tart.jpg,-2.0,1,4,2,2.0,104,1.4636204705202545,0.0,0.7102222222222223,-1.5550000000000002,-1.2686250418854015
38,39,Focus on Healthiness,LuckyCharms_3_2tbsps.jpg,-2.0,1,1,1,1.0,104,1.4396488461097758,0.0,-2.2897777777777777,-2.555,-2.2686250418854015
39,40,Focus on Healthiness,RedPepper_2_2pc.jpg,-2.0,1,1,6,1.0,104,1.2817561800038677,0.0,-2.2897777777777777,2.445,-2.2686250418854015
40,41,Focus on Healthiness,DriedApricots_5_0.75cup.jpg,-2.0,1,2,3,1.0,104,0.7564477143678232,0.0,-1.2897777777777777,-0.5550000000000002,-2.2686250418854015
41,42,Focus on Healthiness,AllBranBar_3_1bar.jpg,-2.0,1,1,6,1.0,104,1.1458705034492596,0.0,-2.2897777777777777,2.445,-2.2686250418854015
42,43,Focus on Healthiness,JuniorMints_2_9pc.jpg,-1.0,1,4,1,2.0,104,1.668751614386565,0.0,0.7102222222222223,-2.555,-1.2686250418854015
43,44,Focus on Healthiness,SkimMilk_1_1Tbsp.jpg,-2.0,1,1,6,2.0,104,0.8974424109110258,0.0,-2.2897777777777777,2.445,-1.2686250418854015
44,45,Focus on Healthiness,FrozenCorn_4_2cups.jpg,-2.0,1,1,5,1.0,104,0.7399257937649963,0.0,-2.2897777777777777,1.4449999999999998,-2.2686250418854015
45,46,Decrease Desire,CornFlakes_3_2tbsps.jpg,-2.0,1,2,1,1.0,104,0.6100460667112202,0.0,-1.2897777777777777,-2.555,-2.2686250418854015
46,47,Decrease Desire,Aero_1_1pc.jpg,2.0,6,5,1,6.0,104,0.6417262671493518,1.0,1.7102222222222223,-2.555,2.7313749581145985
47,48,Decrease Desire,TofuDessert_4_1pck.jpg,-2.0,1,1,5,,104,0.6962795956787886,0.0,-2.2897777777777777,1.4449999999999998,
48,49,Decrease Desire,Celery_2_1stalk.jpg,-2.0,5,1,6,1.0,104,0.6027762619851273,0.0,-2.2897777777777777,2.445,-2.2686250418854015
49,50,Decrease Desire,YorkPeppermintPatties_4_12.jpg,-2.0,4,6,1,5.0,104,0.5708756780441036,0.0,2.7102222222222223,-2.555,1.7313749581145985
50,51,Decrease Desire,Almonds_2_10.jpg,-2.0,1,2,6,1.0,104,1.0869032325390435,0.0,-1.2897777777777777,2.445,-2.2686250418854015
51,52,Decrease Desire,MangoChunks_2_3.jpg,2.0,1,2,6,1.0,104,1.6183459433741518,1.0,-1.2897777777777777,2.445,-2.2686250418854015
52,53,Decrease Desire,HersheysKisses_2_5.jpg,2.0,6,5,1,6.0,104,0.6131043511595635,1.0,1.7102222222222223,-2.555,2.7313749581145985
53,54,Decrease Desire,FibreBrownies_3_2bars.jpg,-1.0,1,5,4,2.0,104,1.7330192084300506,0.0,1.7102222222222223,0.44499999999999984,-1.2686250418854015
